feature,mean_or_rate,nonzero_count
BMI__knn_hw,27.362170188561986,5528
BMI__regression_hw,27.40311648771217,5528
BSA_Mosteller__knn_hw,1.8917288133322556,5528
BSA_Mosteller__regression_hw,1.8890190606016855,5528
CYP2C9__rare_allele_count,0.0030752532561505066,17
CYP2C9__reduced_allele_count,0.2708031837916064,1353
CYP2C9__star2_count,0.1613603473227207,836
CYP2C9__star3_count,0.10636758321273516,568
CYP2C9__unknown,0.0197178002894356,109
ComorbidityText__missing,0.3509406657018813,1940
ComorbidityText__none_reported,0.41714905933429813,2306
Comorbidity__atrial_fibrillation_or_flutter,0.20893632416787264,1155
Comorbidity__cancer,0.04576700434153401,253
Comorbidity__cardiomyopathy_or_heart_failure,0.09026772793053546,499
Comorbidity__cardiovascular,0.11414616497829233,631
Comorbidity__diabetes,0.1020260492040521,564
Comorbidity__heart_valve,0.13042691751085383,721
Comorbidity__hyperlipidemia,0.060781476121562955,336
Comorbidity__hypertension,0.1875904486251809,1037
Comorbidity__liver_or_hepatic,0.007054992764109986,39
Comorbidity__obesity,0.011939218523878437,66
Comorbidity__renal_or_kidney,0.02568740955137482,142
Comorbidity__respiratory,0.015195369030390739,84
Comorbidity__stroke_or_cva,0.0428726483357453,237
Comorbidity__thrombosis_or_embolism,0.07489146164978293,414
Indication__Afib_or_flutter,0.3883863965267728,2147
Indication__Cardiomyopathy_or_LV_Dilation,0.021526772793053546,119
Indication__Count,1.020079594790159,4831
Indication__DVT,0.08954413892908827,495
Indication__Heart_Valve,0.19627351664254702,1085
Indication__Multiple,0.13277858176555715,734
Indication__Other,0.18306801736613604,1012
Indication__PE,0.0786903039073806,435
Indication__Post_Orthopedic,0.023878437047756874,132
Indication__Stroke,0.03871201157742402,214
Indication__Unknown,0.12608538350217077,697
Interaction__AgeDecade_x_BMI__knn_hw,161.70602788969228,5528
Interaction__AgeDecade_x_BMI__regression_hw,161.98964779576895,5528
Interaction__AgeDecade_x_CYP2C9Reduced,1.638205499276411,1353
Interaction__AgeDecade_x_CYP2C9Star3,0.643451519536903,568
Interaction__AgeDecade_x_VKORC1_Acount,5.905933429811867,3745
Interaction__AgeDecade_x_Weight__knn_hw,458.59771638284803,5528
Interaction__AgeDecade_x_Weight__regression_hw,457.86448810614564,5528
Interaction__Amiodarone_x_CYP2C9Reduced,0.014833574529667149,72
Interaction__Amiodarone_x_VKORC1_Acount,0.03816931982633864,163
Interaction__BSA_x_VKORC1_Acount__knn_hw,1.8067401712376674,3745
Interaction__BSA_x_VKORC1_Acount__regression_hw,1.800350595117449,3745
Interaction__CurrentSmoker_x_AgeDecade,0.3847684515195369,417
Interaction__EnzymeInducer_x_CYP2C9Reduced,0.0023516642547033286,13
Interaction__EnzymeInducer_x_VKORC1_Acount,0.006693198263386397,28
Interaction__HeartValveIndication_x_TargetINR,0.5044772069464544,1085
Interaction__Height_x_CYP2C9Reduced__knn_hw,45.88106372017168,1353
Interaction__Height_x_CYP2C9Reduced__regression_hw,45.849020701807596,1353
Interaction__HighIntensityINR_x_ValveIndication,0.05318379160636758,294
Interaction__RaceAsian_x_CYP2C9Reduced,0.019898697539797394,108
Interaction__RaceAsian_x_VKORC1_Acount,0.5088639652677279,1547
Interaction__RaceBlack_x_CYP2C9Reduced,0.008502170767004342,47
Interaction__RaceBlack_x_VKORC1_Acount,0.015918958031837915,81
Interaction__ValveReplacement_x_TargetINR,0.46983538350217074,1008
Interaction__Weight_x_CYP2C9Reduced__knn_hw,22.020913726604505,1353
Interaction__Weight_x_CYP2C9Reduced__regression_hw,22.05551079839259,1353
Interaction__Weight_x_EnzymeInducer__knn_hw,0.8100397973950797,54
Interaction__Weight_x_EnzymeInducer__regression_hw,0.8100397973950797,54
MedicationText__acetaminophen,0.06494211287988423,359
MedicationText__amiodarone,0.045586107091172216,252
MedicationText__antibiotic,0.020260492040520984,112
MedicationText__antifungal_azole,0.0023516642547033286,13
MedicationText__aspirin,0.15394356005788712,851
MedicationText__clopidogrel_or_antiplatelet,0.03473227206946455,192
MedicationText__cyp2c9_substrate_or_flag,0.01284370477568741,71
MedicationText__enzyme_inducer,0.007597684515195369,42
MedicationText__herbal_vitamin_supplement,0.046128798842257596,255
MedicationText__missing,0.23172937771345875,1281
MedicationText__none_reported,0.3594428364688857,1987
MedicationText__nsaid_or_cox2,0.02532561505065123,140
MedicationText__statin,0.1552098408104197,858
TargetINR__any_available,0.8498552821997105,4698
TargetINR__exact_missing,0.7722503617945007,4269
TargetINR__high_intensity,0.11722141823444283,648
TargetINR__low_intensity,0.09406657018813314,520
TargetINR__range_lower,2.1682073082489146,5528
TargetINR__range_midpoint,2.5336468885672936,5528
TargetINR__range_missing,0.34044862518089725,1882
TargetINR__range_upper,2.899086468885673,5528
TargetINR__range_width,0.7308791606367584,3646
TargetINR__standard_2_to_3,0.4507959479015919,2492
TargetINR__value,2.5336468885672936,5528
VKORC1_rs9923231__A_count,0.9952966714905933,3745
VKORC1_rs9923231__G_count,0.9598408104196816,3647
VKORC1_rs9923231__unknown,0.02243125904486252,124
